country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",19-01-2026 08:00,28.695381,77.181665,SO2,9,23,15
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",19-01-2026 08:00,26.2271665,84.3570427,OZONE,13,14,13
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",19-01-2026 08:00,30.735567,76.775714,PM2.5,33,203,86
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",19-01-2026 08:00,30.735567,76.775714,PM10,35,139,81
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",19-01-2026 08:00,30.751462,76.762879,PM2.5,98,318,181
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",19-01-2026 08:00,21.194815,81.31477,PM2.5,19,48,33
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",19-01-2026 08:00,21.194815,81.31477,NH3,5,7,6
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",19-01-2026 08:00,21.194815,81.31477,CO,20,70,45
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",19-01-2026 08:00,21.185571,81.343175,PM10,16,104,58
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-01-2026 08:00,28.498571,77.26484,PM10,190,445,322
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-01-2026 08:00,28.498571,77.26484,CO,38,118,58
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",19-01-2026 08:00,28.498571,77.26484,OZONE,3,134,14
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",19-01-2026 08:00,28.5710274,77.0719006,SO2,16,27,22
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",19-01-2026 08:00,28.5627763,77.1180053,PM10,182,410,306
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",19-01-2026 08:00,28.6811736,77.3025234,NO2,44,188,111
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",19-01-2026 08:00,28.54246,77.191651,PM2.5,282,439,380
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",19-01-2026 08:00,28.54246,77.191651,CO,56,131,116
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-01-2026 08:00,28.7762,77.051074,PM10,288,500,442
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-01-2026 08:00,28.7762,77.051074,NO2,32,128,61
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-01-2026 08:00,28.7762,77.051074,NH3,16,23,19
India,Delhi,Delhi,"Bawana, Delhi - DPCC",19-01-2026 08:00,28.7762,77.051074,CO,78,137,106
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",19-01-2026 08:00,28.5512005,77.2735737,NO2,15,62,31
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",19-01-2026 08:00,28.5512005,77.2735737,CO,49,127,116
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",19-01-2026 08:00,28.5512005,77.2735737,OZONE,10,68,10
India,Delhi,Delhi,"DTU, Delhi - CPCB",19-01-2026 08:00,28.7500499,77.1112615,PM10,233,500,414
India,Delhi,Delhi,"DTU, Delhi - CPCB",19-01-2026 08:00,28.7500499,77.1112615,CO,105,143,130
India,Delhi,Delhi,"DTU, Delhi - CPCB",19-01-2026 08:00,28.7500499,77.1112615,OZONE,15,40,16
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",19-01-2026 08:00,25.0328,85.41948,PM2.5,70,343,212
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",19-01-2026 08:00,25.0328,85.41948,PM10,74,263,147
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",19-01-2026 08:00,25.0328,85.41948,NO2,8,10,9
